VOC_ID,접수일자,회원등급,이용영역,리뷰원문,만족도점수
VOC_2026_0001,2026-06-06,무브(Gold),식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0002,2026-06-27,프렌즈(Silver),예약/멤버십,VIP 회원임에도 모바일 앱에서 잔여 객실 확인 및 패키지 예약 적용이 복잡합니다.,1
VOC_2026_0003,2026-06-04,무브(Gold),식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0004,2026-06-28,아난티(VIP),예약/멤버십,VIP 회원임에도 모바일 앱에서 잔여 객실 확인 및 패키지 예약 적용이 복잡합니다.,1
VOC_2026_0005,2026-06-15,아난티(VIP),예약/멤버십,VIP 회원임에도 모바일 앱에서 잔여 객실 확인 및 패키지 예약 적용이 복잡합니다.,1
VOC_2026_0006,2026-06-22,아난티(VIP),객실,주말 체크인 대기가 너무 깁니다. 번호표 뽑고 로비에서 50분 기다렸습니다.,1
VOC_2026_0007,2026-06-04,무브(Gold),객실,주말 체크인 대기가 너무 깁니다. 번호표 뽑고 로비에서 50분 기다렸습니다.,1
VOC_2026_0008,2026-06-16,프렌즈(Silver),예약/멤버십,VIP 회원임에도 모바일 앱에서 잔여 객실 확인 및 패키지 예약 적용이 복잡합니다.,1
VOC_2026_0009,2026-06-05,무브(Gold),객실,주말 체크인 대기가 너무 깁니다. 번호표 뽑고 로비에서 50분 기다렸습니다.,1
VOC_2026_0010,2026-06-10,아난티(VIP),식음/F&B,라포레 조식 뷔페 대기시간이 40분이나 걸려 너무 불편했습니다. 사전 예약이나 혼잡도 안내가 필요합니다.,1
VOC_2026_0011,2026-06-11,일반회원,식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0012,2026-06-11,프렌즈(Silver),부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0013,2026-06-05,프렌즈(Silver),예약/멤버십,VIP 회원임에도 모바일 앱에서 잔여 객실 확인 및 패키지 예약 적용이 복잡합니다.,1
VOC_2026_0014,2026-06-14,무브(Gold),객실,주말 체크인 대기가 너무 깁니다. 번호표 뽑고 로비에서 50분 기다렸습니다.,1
VOC_2026_0015,2026-06-11,무브(Gold),식음/F&B,라포레 조식 뷔페 대기시간이 40분이나 걸려 너무 불편했습니다. 사전 예약이나 혼잡도 안내가 필요합니다.,1
VOC_2026_0016,2026-06-23,일반회원,식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0017,2026-06-27,프렌즈(Silver),객실,주말 체크인 대기가 너무 깁니다. 번호표 뽑고 로비에서 50분 기다렸습니다.,1
VOC_2026_0018,2026-06-22,프렌즈(Silver),식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0019,2026-06-15,일반회원,부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0020,2026-06-25,프렌즈(Silver),객실,주말 체크인 대기가 너무 깁니다. 번호표 뽑고 로비에서 50분 기다렸습니다.,1
VOC_2026_0021,2026-06-18,아난티(VIP),부대시설/레저,이터널저니 서점 큐레이션이 최고입니다. 리조트에서 문화생활까지 즐길 수 있어 만족합니다.,5
VOC_2026_0022,2026-06-21,아난티(VIP),식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
VOC_2026_0023,2026-06-28,무브(Gold),객실,주말 체크인 대기가 너무 깁니다. 번호표 뽑고 로비에서 50분 기다렸습니다.,1
VOC_2026_0024,2026-06-07,프렌즈(Silver),예약/멤버십,VIP 회원임에도 모바일 앱에서 잔여 객실 확인 및 패키지 예약 적용이 복잡합니다.,1
VOC_2026_0025,2026-06-24,아난티(VIP),식음/F&B,라포레 조식 뷔페 대기시간이 40분이나 걸려 너무 불편했습니다. 사전 예약이나 혼잡도 안내가 필요합니다.,1
VOC_2026_0026,2026-06-28,아난티(VIP),식음/F&B,라포레 조식 뷔페 대기시간이 40분이나 걸려 너무 불편했습니다. 사전 예약이나 혼잡도 안내가 필요합니다.,1
VOC_2026_0027,2026-06-19,일반회원,예약/멤버십,VIP 회원임에도 모바일 앱에서 잔여 객실 확인 및 패키지 예약 적용이 복잡합니다.,1
VOC_2026_0028,2026-06-07,아난티(VIP),예약/멤버십,VIP 회원임에도 모바일 앱에서 잔여 객실 확인 및 패키지 예약 적용이 복잡합니다.,1
VOC_2026_0029,2026-06-09,일반회원,예약/멤버십,VIP 회원임에도 모바일 앱에서 잔여 객실 확인 및 패키지 예약 적용이 복잡합니다.,1
VOC_2026_0030,2026-06-12,일반회원,식음/F&B,맥퀸즈 라운지 바다 전망과 애프터눈 티 세트가 훌륭했습니다. 재방문 의사 있습니다.,5
